SUBAREA,LON,LAT
GOM,-67.50000,42.50000
GOM,-67.50000,42.00000
SS,-66.00000,41.66667
SS,-66.00000,41.83333
SS,-66.16666,41.83333
SS,-66.16666,42.00000
SS,-66.50000,42.00000
SS,-66.50000,42.16667
SS,-67.33334,42.16667
SS,-67.33334,42.00000
SS,-67.50000,42.00000
SS,-67.50000,42.50000
SS,-67.33334,42.50000
SS,-67.33334,43.16667
SS,-67.16666,43.16667
SS,-67.16666,43.33333
SS,-67.33334,43.33333
SS,-67.33334,43.66667
SS,-67.16666,43.66667
SS,-67.16666,44.16667
SS,-67.66666,44.16667
SS,-67.66666,44.00000
SS,-68.33334,44.00000
SS,-68.33334,44.16667
SS,-68.16666,44.16667
SS,-68.16666,44.33333
SS,-67.83334,44.33333
SS,-67.83334,44.50000
SS,-67.33334,44.50000
SS,-67.33334,44.33333
SS,-66.50000,44.33333
SS,-66.50000,44.16667
SS,-66.33334,44.16667
SS,-66.33334,44.00000
SS,-66.16666,44.00000
SS,-66.16666,43.50000
SS,-66.00000,43.50000
SS,-66.00000,42.66667
SS,-66.16666,42.66667
SS,-66.16666,42.50000
SS,-66.00000,42.50000
SS,-66.00000,42.16667
SS,-65.83334,42.16667
SS,-65.83334,42.00000
SS,-65.66666,42.00000
SS,-65.66666,41.66667
SS,-66.00000,41.66667
GB,-66.00000,41.66667
GB,-66.00000,41.33333
GB,-66.16666,41.33333
GB,-66.16666,41.16667
GB,-66.33334,41.16667
GB,-66.33334,41.00000
GB,-66.50000,41.00000
GB,-66.50000,40.83333
GB,-66.66666,40.83333
GB,-66.66666,40.66667
GB,-67.00000,40.66667
GB,-67.00000,40.50000
GB,-67.33334,40.50000
GB,-67.33334,40.33333
GB,-68.16666,40.33333
GB,-68.16666,40.16667
GB,-68.66666,40.16667
GB,-68.66666,40.00000
GB,-69.33334,40.00000
GB,-69.33334,40.33333
GB,-69.50000,40.33333
GB,-69.50000,40.50000
GB,-70.16666,40.50000
GB,-70.16666,40.66667
GB,-70.33334,40.66667
GB,-70.33334,40.83333
GB,-70.50000,40.83333
GB,-70.50000,41.00000
GB,-70.50000,41.16667
GB,-70.50000,41.16667
GB,-70.50000,41.50000
GB,-69.83334,41.50000
GB,-69.83334,41.66667
GB,-69.33334,41.66667
GB,-69.33334,41.50000
GB,-69.16666,41.50000
GB,-69.16666,41.33333
GB,-68.83334,41.33333
GB,-68.83334,41.50000
GB,-68.66666,41.50000
GB,-68.66666,41.66667
GB,-68.50000,41.66667
GB,-68.50000,41.83333
GB,-68.00000,41.83333
GB,-68.00000,42.00000
GB,-67.50000,42.00000
GB,-67.33334,42.00000
GB,-67.33334,42.16667
GB,-66.50000,42.16667
GB,-66.50000,42.00000
GB,-66.16666,42.00000
GB,-66.16666,41.83333
GB,-66.00000,41.83333
GB,-66.00000,41.66667
