"","Pynam","pycomnam","MODCAT","GENCAT","GenSci","GenCom","ANALCAT","AnalSci","AnalCom","COLLCAT","CollSci","Collcom"
"34","APHRODITIDAE",NA,"BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","APHFAM","APHRODITIDAE","SEA MOUSE"
"35","APHRODITA HASTATA","SEA MOUSE","BENINV","ANNELI","ANNELIDA","ANNELIDA","ANNELI","ANNELIDA","ANNELIDA","APHFAM","APHRODITIDAE","SEA MOUSE"
"36","ANIMAL REMAINS","ANIMAL REMAINS","AR","AR","ANIMAL REMAINS","ANIMAL REMAINS","AR","ANIMAL REMAINS","ANIMAL REMAINS","AR","ANIMAL REMAINS","ANIMAL REMAINS"
"37","ANIMAL TUBES","TUBES","AR","AR","ANIMAL REMAINS","ANIMAL REMAINS","AR","ANIMAL REMAINS","ANIMAL REMAINS","AR","ANIMAL REMAINS","ANIMAL REMAINS"
"38","ANIMAL EGGS","EGGS","AR","AR","ANIMAL REMAINS","ANIMAL REMAINS","AR","ANIMAL REMAINS","ANIMAL REMAINS","AR","ANIMAL REMAINS","ANIMAL REMAINS"
"39","FECAL REMAINS","FECAL PELLETS","AR","AR","ANIMAL REMAINS","ANIMAL REMAINS","AR","ANIMAL REMAINS","ANIMAL REMAINS","AR","ANIMAL REMAINS","ANIMAL REMAINS"
"40","ARCTICA ISLANDICA VISCERA","OCEAN QUAHOG VISCERA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","ARCIS2","ARCTICA ISLANDICA VISCERA","OCEAN QUAHOG VISCERA"
"41","ARCTICA ISLANDICA SHELL","OCEAN QUAHOG SHELL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","ARCIS3","ARCTICA ISLANDICA SHELL","OCEAN QUAHOG SHELL"
"42","ARCTICA ISLANDICA","OCEAN QUAHOG","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","ARCISL","ARCTICA ISLANDICA","OCEAN QUAHOG"
"43","ARGENTINIDAE","ARGENTINES","LPEL","FISH","FISH","FISH","ARGFAM","ARGENTINIDAE","ARGENTINES","ARGFAM","ARGENTINIDAE","ARGENTINES"
"44","ARGENTINA SILUS","ATLANTIC ARGENTINE","LPEL","FISH","FISH","FISH","ARGFAM","ARGENTINIDAE","ARGENTINES","ARGSIL","ARGENTINA SILUS","ATLANTIC ARGENTINE"
"45","ARGENTINA STRIATA","STRIATED ARGENTINE","SPEL","FISH","FISH","FISH","ARGFAM","ARGENTINIDAE","ARGENTINES","ARGSTR","ARGENTINA STRIATA","STRIATED ARGENTINE"
"46","ARIOMMA BONDI","SILVER RAG","LPEL","FISH","FISH","FISH","STRFAM","STROMATEIDAE","BUTTERFISH","ARIBON","ARIOMMA BONDI","SILVER RAG"
"47","ARTEDIELLUS SP","HOOKEAR SCULPIN UNCL","SDEM","FISH","FISH","FISH","COTFAM","COTTIDAE","SCULPINS","ARTESP","ARTEDIELLUS SP","HOOKEAR SCULPIN UNCL"
"48","ARTHROPODA",NA,"OTHER","ARTHRO","ARTHROPODA","ARTHROPODA","ARTHRO","ARTHROPODA","ARTHROPODA","ARTHRO","ARTHROPODA","ARTHROPODA"
"49","ARTEDIELLUS UNCINATUS","ARCTIC HOOKEAR SCULPIN","SDEM","FISH","FISH","FISH","COTFAM","COTTIDAE","SCULPINS","ARTUNC","ARTEDIELLUS UNCINATUS","ARCTIC HOOKEAR SCULPIN"
"50","ASCIDIACEA","SEA SQUIRTS","BENINV","UROCHO","UROCHORDATA","UROCHORDATA","ASCIDI","ASCIDIACEA","TUNICATES","ASCIDI","ASCIDIACEA","TUNICATES"
"51","ASCIDIIDAE",NA,"BENINV","UROCHO","UROCHORDATA","UROCHORDATA","ASCIDI","ASCIDIACEA","TUNICATES","ASCIDI","ASCIDIACEA","TUNICATES"
"52","ASCIDIA SP",NA,"BENINV","UROCHO","UROCHORDATA","UROCHORDATA","ASCIDI","ASCIDIACEA","TUNICATES","ASCIDI","ASCIDIACEA","TUNICATES"
"53","ASCIDIA CALLOSA",NA,"BENINV","UROCHO","UROCHORDATA","UROCHORDATA","ASCIDI","ASCIDIACEA","TUNICATES","ASCIDI","ASCIDIACEA","TUNICATES"
"54","MOLGULA SP",NA,"BENINV","UROCHO","UROCHORDATA","UROCHORDATA","ASCIDI","ASCIDIACEA","TUNICATES","ASCIDI","ASCIDIACEA","TUNICATES"
"55","POLYCLINIDAE","SEA PORKS","BENINV","UROCHO","UROCHORDATA","UROCHORDATA","ASCIDI","ASCIDIACEA","TUNICATES","ASCIDI","ASCIDIACEA","TUNICATES"
"56","BOSTRICHOBRANCHUS SP",NA,"BENINV","UROCHO","UROCHORDATA","UROCHORDATA","ASCIDI","ASCIDIACEA","TUNICATES","ASCIDI","ASCIDIACEA","TUNICATES"
"57","BOSTRICHOBRANCHUS PILULARIS",NA,"BENINV","UROCHO","UROCHORDATA","UROCHORDATA","ASCIDI","ASCIDIACEA","TUNICATES","ASCIDI","ASCIDIACEA","TUNICATES"
"58","BOLTENIA SP",NA,"BENINV","UROCHO","UROCHORDATA","UROCHORDATA","ASCIDI","ASCIDIACEA","TUNICATES","ASCIDI","ASCIDIACEA","TUNICATES"
"59","DENDRODOA CARNEA",NA,"BENINV","UROCHO","UROCHORDATA","UROCHORDATA","ASCIDI","ASCIDIACEA","TUNICATES","ASCIDI","ASCIDIACEA","TUNICATES"
"60","PLEUROGONA",NA,"BENINV","UROCHO","UROCHORDATA","UROCHORDATA","ASCIDI","ASCIDIACEA","TUNICATES","ASCIDI","ASCIDIACEA","TUNICATES"
"61","ASPIDOPHOROIDES MONOPTERYGIUS","ALLIGATORFISH","SDEM","FISH","FISH","FISH","OTHFIS","OTHER FISH","OTHER FISH","ASPMON","ASPIDOPHOROIDES MONOPTERYGIUS","ALLIGATORFISH"
"62","ASTEROIDEA","SEA STARS","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ASTERO","ASTEROIDEA","STARFISH","ASTERO","ASTEROIDEA","STARFISH"
"63","ASTERIIDAE",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ASTERO","ASTEROIDEA","STARFISH","ASTERO","ASTEROIDEA","STARFISH"
"64","ASTERIAS SP",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ASTERO","ASTEROIDEA","STARFISH","ASTERO","ASTEROIDEA","STARFISH"
"65","ASTERIAS VULGARIS","BOREAL ASTERIAS","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ASTERO","ASTEROIDEA","STARFISH","ASTERO","ASTEROIDEA","STARFISH"
"66","PEDICELLASTER TYPICUS",NA,"BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ASTERO","ASTEROIDEA","STARFISH","ASTERO","ASTEROIDEA","STARFISH"
"67","ASTROPECTEN SP","ASTROPECTEN SP","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ASTERO","ASTEROIDEA","STARFISH","ASTERO","ASTEROIDEA","STARFISH"
"68","CTENODISCUS CRISPATUS","MUD STAR","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ASTERO","ASTEROIDEA","STARFISH","ASTERO","ASTEROIDEA","STARFISH"
"69","CLYPEASTEROIDA","TRUE SAND DOLLARS","BENINV","ECHINO","ECHINODERMATA","ECHINODERMATA","ASTERO","ASTEROIDEA","STARFISH","ASTERO","ASTEROIDEA","STARFISH"
"70","ASTROSCOPUS GUTTATUS","NORTHERN STARGAZER","LDEM","FISH","FISH","FISH","URAFAM","URANOSCOPIDAE","STARGAZERS","ASTGUT","ASTROSCOPUS GUTTATUS","NORTHERN STARGAZER"
"71","ASTROSCOPUS SP",NA,"LDEM","FISH","FISH","FISH","URAFAM","URANOSCOPIDAE","STARGAZERS","ASTRS1","ASTROSCOPUS SP","STARGAZER - GENUS"
"72","ATHERINIDAE","SILVERSIDES","SPEL","FISH","FISH","FISH","ATHFAM","ATHERINIDAE","SILVERSIDES","ATHFAM","ATHERINIDAE","SILVERSIDES"
"73","AUXIS SP",NA,"LPEL","FISH","FISH","FISH","SCOFAM","SCOMBRIDAE","MACKERELS","AUXISP","AUXIS SP",NA
"74","BAIRDIELLA CHRYSOURA","SILVER PERCH","LDEM","FISH","FISH","FISH","SCIFAM","SCIAENIDAE","DRUMS","BAICHR","BAIRDIELLA CHRYSOURA","SILVER PERCH"
"75","BALISTIDAE","LEATHERJACKETS","LDEM","FISH","FISH","FISH","BALFAM","BALISTIDAE","TRIGGERFISH","BALFAM","BALISTIDAE","TRIGGERFISH"
"76","BATRACHOIDIDAE","TOADFISHES","LDEM","FISH","FISH","FISH","BATFAM","BATRACHOIDIDAE","TOADFISHES","BATFAM","BATRACHOIDIDAE","TOADFISHES"
"77","BELONIDAE","NEEDLEFISHES","LPEL","FISH","FISH","FISH","BELFAM","BELONIDAE","NEEDLEFISHES","BELFAM","BELONIDAE","NEEDLEFISHES"
"78","BIVALVIA","BIVALVE MOLLUSKS","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"79","BIVALVIA SHELL","BIVALVE SHELL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"80","BIVALVIA VISCERA","BIVALVE VISCERA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"81","BIVALVIA SIPHON","BIVALVE SIPHON","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"82","BIVALVIA LARVAE","BIVALVE LARVAE","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"83","ANADARA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"84","ANADARA TRANSVERSA","TRANSVERSE ARK","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"85","BATHYARCA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"86","BATHYARCA PECTUNCULOIDES","COMB BATHYARK","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"87","LIMOPSIS SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"88","MYTILIDAE","MUSSELS","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"89","MYTILIDAE SHELL","MUSSEL SHELL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"90","CRENELLA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"91","CRENELLA GLANDULA",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"92","DACRYDIUM SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"93","DACRYDIUM VITREUM","GLASSY MUSSEL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"94","GEUKENSIA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"95","MODIOLUS MODIOLUS","NORTHERN HORSEMUSSEL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"96","MUSCULUS SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"97","MUSCULUS NIGER","BLACK MUSSEL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"98","MYTILUS EDULIS","BLUE MUSSEL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"99","MYTILUS EDULIS SHELL","BLUE MUSSEL SHELL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"100","NUCULANA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"101","NUCULANA PERNULA","NORTHERN NUTCLAM","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"102","NUCULANA TENUISULCATA","THIN NUTCLAM","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"103","YOLDIELLA IRIS","RAINBOW YOLDIA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"104","YOLDIELLA LUCIDA","IRIDESCENT YOLDIA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"105","YOLDIA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"106","YOLDIA LIMATULA","FILE YOLDIA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"107","YOLDIA SAPOTILLA","SHORT YOLDIA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"108","YOLDIA THRACIAEFORMIS","BROAD YOLDIA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"109","NUCULA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"110","NUCULA AEGEENSIS","AEGEAN NUTCLAM","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"111","NUCULA DELPHINODONTA","DOLPHINTOOTH NUTCLAM","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"112","NUCULA PROXIMA","ATLANTIC NUTCLAM","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"113","NUCULA TENUIS","SMOOTH NUTCLAM","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"114","CUSPIDARIA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"115","MYONERA LAMELLIFERA","SHINGLED MYONERIA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"116","ANOMIA SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"117","ANOMIA SIMPLEX","COMMON JINGLE","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"118","LIMIDAE","FILECLAMS","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"119","LIMATULA SUBAURICULATA","SMALL-EAR FILECLAM","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"120","OSTREIDAE","OYSTERS","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"121","PTERIA VITREA","GLASSY WING-OYSTER","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"122","SOLEMYIDAE","AWNINGCLAMS","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"123","SOLEMYA VELUM","ATLANTIC AWNINGCLAM","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"124","ASTARTE SP",NA,"BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"125","ASTARTE SP SHELL","ASTARTE SHELL","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"126","ASTARTE SP VISCERA","ASTARTE SP VISCERA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"127","ASTARTE QUADRANS","SQUARISH ASTARTE","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"128","ASTARTE CASTANEA","SMOOTH ASTARTE","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"129","ASTARTE UNDATA","WAVY ASTARTE","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
"130","TRIDONTA BOREALIS","BOREAL TRIDONTA","BENINV","MOLLUS","MOLLUSCA","MOLLUSCA","BIVALV","BIVALVIA","CLAMS, MUSSELS","BIVALV","BIVALVIA","CLAMS, MUSSELS"
