"","Pynam","pycomnam","MODCAT","GENCAT","GenSci","GenCom","ANALCAT","AnalSci","AnalCom","COLLCAT","CollSci","Collcom"
"1","ABRALIA VERANYI","RUPPEL'S ABRALIA","PELINV","MOLLUS","MOLLUSCA","MOLLUSCA","CEPHAL","CEPHALOPODA","SQUIDS, OCTOPUS","ABRVER","ABRALIA VERANYI","RUPPEL'S ABRALIA"
"2","ALEPISAURIDAE","LANCETFISH","LPEL","FISH","FISH","FISH","OTHFIS","OTHER FISH","OTHER FISH","ALEFA2","ALEPISAURIDAE","LANCETFISH"
"3","ALEPOCEPHALIDAE","SMOOTHHEADS","SDEM","FISH","FISH","FISH","ALEFAM","ALEPOCEPHALIDAE","SMOOTHHEADS","ALEFAM","ALEPOCEPHALIDAE","SMOOTHHEADS"
"4","AKEOUSAURUS FEROX","LONGNOSE LANCETFISH","LPEL","FISH","FISH","FISH","OTHFIS","OTHER FISH","OTHER FISH","ALEFER","AKEOUSAURUS FEROX","LONGNOSE LANCETFISH"
"5","ALOSA AESTIVALIS","BLUEBACK HERRING","SPEL","FISH","FISH","FISH","CLUFAM","CLUPEIDAE","HERRINGS","ALOAES","ALOSA AESTIVALIS","BLUEBACK HERRING"
"6","ALOSA PSEUDOHARENGUS","ALEWIFE","SPEL","FISH","FISH","FISH","CLUFAM","CLUPEIDAE","HERRINGS","ALOPSE","ALOSA PSEUDOHARENGUS","ALEWIFE"
"7","ALOSA SAPIDISSIMA","AMERICAN SHAD","SPEL","FISH","FISH","FISH","CLUFAM","CLUPEIDAE","HERRINGS","ALOSAP","ALOSA SAPIDISSIMA","AMERICAN SHAD"
"8","ALOSA SP",NA,"SPEL","FISH","FISH","FISH","CLUFAM","CLUPEIDAE","HERRINGS","ALOSSP","ALOSA SP",NA
"9","ALUTERUS SP","ALUTERID FILEFISH","LDEM","FISH","FISH","FISH","BALFAM","BALISTIDAE","TRIGGERFISH","ALUTSP","ALUTERUS SP","ALUTERID FILEFISH"
"10","AMMODYTES DUBIUS","NORTHERN SAND LANCE","AMMDUB","FISH","FISH","FISH","AMMFAM","AMMODYTIDAE","SAND LANCES","AMMDUB","AMMODYTES DUBIUS","SAND LANCES"
"11","AMMODYTIDAE","SAND LANCES","AMMFAM","FISH","FISH","FISH","AMMFAM","AMMODYTIDAE","SAND LANCES","AMMFAM","AMMODYTIDAE","SAND LANCES"
"12","AMMODYTES SP","SAND LANCES","AMMOSP","FISH","FISH","FISH","AMMFAM","AMMODYTIDAE","SAND LANCES","AMMOSP","AMMODYTES SP","SAND LANCES"
"13","AMPHIPODA",NA,"BENINV","ARTHRO","ARTHROPODA","ARTHROPODA","AMPHIP","AMPHIPODA","AMPHIPODA","AMPHIP","AMPHIPODA","AMPHIPODA"
"14","ANARHICHAS LUPUS","ATLANTIC WOLFFISH","LDEM","FISH","FISH","FISH","ANAFAM","ANARHICHADIDAE","WOLFFISHES","ANALUP","ANARHICHAS LUPUS","ATLANTIC WOLFFISH"
"15","ANCHOA HEPSETUS","STRIPED ANCHOVY","SPEL","FISH","FISH","FISH","ENGFAM","ENGRAULIDAE","ANCHOVIES","ANCHEP","ANCHOA HEPSETUS","STRIPED ANCHOVY"
"16","ANCHOA SP",NA,"SPEL","FISH","FISH","FISH","ENGFAM","ENGRAULIDAE","ANCHOVIES","ANCHSP","ANCHOA SP",NA
"17","ANCHOA MITCHILLI","BAY ANCHOVY","SPEL","FISH","FISH","FISH","ENGFAM","ENGRAULIDAE","ANCHOVIES","ANCMIT","ANCHOA MITCHILLI","BAY ANCHOVY"
"18","ANCYLOPSETTA QUADROCELLATA","OCELLATED FLOUNDER","LDEM","FISH","FISH","FISH","BOTFAM","BOTHIDAE","LEFTEYE FLOUNDERS","ANCQUA","ANCYLOPSETTA QUADROCELLATA","OCELLATED FLOUNDER"
"19","ANGUILLIFORMES","TRUE EELS","LDEM","FISH","FISH","FISH","ANGORD","ANGUILLIFORMES","EELS","ANGORD","ANGUILLIFORMES","EELS"
"20","ANGUILLA ROSTRATA","AMERICAN EEL","LDEM","FISH","FISH","FISH","ANGORD","ANGUILLIFORMES","EELS","ANGROS","ANGUILLA ROSTRATA","AMERICAN EEL"
"21","ANTHOZOA","ANEMONES AND CORALS","BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"22","PENNATULA ACULEATA","SEA PEN","BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"23","ACTINIARIA","SEA ANEMONES","BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"24","ANEMONIA SARGASSENSIS","SARGASSUM ANEMONE","BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"25","BOLOCERA TUEDIAE",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"26","EDWARDSIA SP",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"27","EDWARDSIA ELEGANS",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"28","METRIDIUM SENILE",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"29","CERIANTHIDAE","TUBE-DWELLING ANEMONES","BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"30","CERIANTHIDAE TUBES","CERIANTHID TUBES","BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"31","CERIANTHUS BOREALIS",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"32","CERIANTHEOPSIS AMERICANA",NA,"BENINV","CNIDAR","CNIDARIA","CNIDARIA","CNIDAR","CNIDARIA","CNIDARIA","ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"33","ANTENNARIUS RADIOSUS","SINGLESPOT FROGFISH","SDEM","FISH","FISH","FISH","OTHFIS","OTHER FISH","OTHER FISH","ANTRAD","ANTENNARIUS RADIOSUS","SINGLESPOT FROGFISH"
